region,outages
Acalanes Ridge,1
Acampo,20
Ahwahnee,30
Alamo,92
Albany,84
Albion,7
Alderpoint,20
Alhambra Valley,13
Alleghany,19
Allendale,19
Allensworth,0
Alpaugh,0
Alta,234
Alta Sierra,252
Alto,0
Alum Rock,27
Amador City,7
American Canyon,20
Amesti,44
Anchor Bay,6
Anderson,85
Angels,6
Angels Camp,10
Angwin,190
Annapolis,19
Antioch,153
Applegate,166
Aptos,112
Aptos Hills-Larkin Valley,46
Arbuckle,48
Arcata,183
Arnold,244
Aromas,2
Arroyo Grande,83
Artois,0
Arvin,125
Ashland,13
Atascadero,104
Atherton,3
Atwater,238
Auberry,180
Auburn,209
Auburn Lake Trails,19
August,42
Avenal,40
Avery,0
Avilla Beach,45
Badger,2
Bakersfield,120
Ballard,0
Ballico,0
Bangor,24
Bass Lake,6
Bay Point,30
Bayside,8
Bayview-Montalvin,99
Bayview/Pine Hill,8
Bear Valley - Hwy 4,0
Bear Valley - Hwy 49,0
Belden,66
Bella Vista,125
Belmont,71
Belvedere,43
Belvedere Tiburon,0
Ben Lomond,102
Benbow,19
Bend,0
Benicia,13
Berkeley,152
Berry Creek,4
Bethel Island,252
Bieber,0
Big Bend,0
Big Lagoon,0
Big sur,53
Biggs,166
Biola,2
Birds Landing,0
Black Point-Green Point,13
Blackhawk,15
Blacklake,0
Blocksburg,0
Bloomfield,0
Blue Lake,37
Bodega,51
Bodega Bay,91
Bolinas,1
Bonadelle Ranchos-Madera Ranchos,11
Bonny Doon,45
Boonville,7
Bootjack,109
Boronda,1
Boulder Creek,132
Bowles,0
Boyes Hot Springs,26
Bradley,2
Branscomb,7
Brentwood,237
Bridgeville,4
Brisbane,2
Broadmoor,0
Brookdale,12
Brooks,19
Brooktrails,23
Browns Valley,192
Brownsville,209
Buck Meadows,0
Buckhorn,47
Bucks Lake,0
Buellton,34
Buena Vista,0
Burbank,12
Burlingame,75
Burney,134
Burnt Ranch,4
Butte City,49
Butte Creek Canyon,2
Butte Meadows,0
Butte Valley,84
Buttonwillow,100
Byron,1
Caliente,45
Calistoga,234
Callender,46
Calpella,19
Calpine,19
Calwa,2
Camanche North Shore,19
Camanche Village,0
Cambria,155
Cambrian Park,0
Cameron Park,234
Camino,211
Camino Tassajara,0
Campbell,183
Camptonville,24
Cantua Creek,0
Canyon Dam,0
Canyondam,0
Capay,19
Capitola,92
Caribou,0
Carlotta,212
Carmel,7
Carmel Valley,1
Carmel Valley Village,50
Carmel-by-the-Sea,1
Carmet,3
Caruthers,93
Casmalia,0
Caspar,7
Cassel,3
Castle Hill,1
Castro Valley,148
Castroville,63
Catheys Valley,89
Cayucos,36
Cazadero,196
Cedar Ridge,0
Centerville,156
Challenge,165
Challenge-Brownsville,19
Cherokee,0
Cherryland,98
Chester,0
Chico,133
Chowchilla,113
Chualar,0
Clarksburg,226
Clayton,152
Clear Creek,71
Clearlake,195
Clearlake Oaks,211
Clearlake Riviera,19
Cleone,19
Cloverdale,241
Clovis,166
Clyde,80
Coalinga,6
Coarsegold,95
Cobb,19
Cohasset,1
Cold Springs,141
Cold Springs-Tuolumne,80
Colfax,47
College City,20
Collierville,6
Colma,0
Coloma,19
Columbia,43
